code,name,river,basin,state,district,division,lat,lon,rl_zero,warning_level,danger_level,hfl,hfl_date
003-SRDCBE,KUDLUR,Palar,Cauvery,Karnataka,Chamarajanagara,"Southern River Division(SRD), Coimbatore",11.840555555555556,77.46277777777777,433.0,437.0,438.0,440.1,2006-11-03
003-SWRDKOCHI,MUTHANKERA,Kabini,Cauvery,Kerala,WAYANAD,"Cauvery Division, Bangaluru",11.808055555555557,76.08416666666666,705.0,710.3,711.25,713.89,2019-08-09
003-TDSURAT,Garudeshwar,Narmada,Narmada,Gujarat,Narmada,"Executive Engineer, Tapi Division, Surat",21.89,73.65,10.0,30.48,31.09,41.645,1970-09-06
003-UBDDIB,Yinkiang,Siang,Brahmaputra,Arunachal Pradesh,UPPER SIANG,"Upper Brahmaputra Division (UBD), Dibrugarh",28.64361111111111,95.01694444444443,0.0,,,,
003-UKDPUNE,Samdoli (Seasonal),Warna,Krishna,Maharashtra,Sangli,"Upper Krishna Division(UKD), Pune",16.85638888888889,74.49666666666667,528.594,541.95,543.15,546.994,2019-08-09
003-UYDDEL,Tuini (Pabar),Pabar,Ganga,Uttarakhand,Dehradun,"Upper Yamuna Division(UYD), New Delhi",30.954722222222223,77.85305555555556,922.0,929.5,930.5,931.88,1988-09-25
003-hydchennai,Nandipalli,Sagileru,Pennar,Andhra Pradesh,CUDDAPAH,"Hydrology Division(HD),Chennai",14.721111111111112,79.01888888888888,95.0,100.93,101.93,102.43,1996-10-19
003-lgdhyd,Nowrangpur,Indravathi,Godavari,Odisha,Nabarangapur,"Lower Godavari Division(LGD), Hyderabad",19.1975,82.51194444444444,549.745,555.75,557.75,559.33,1973-07-07
003-mdburla,Manendragarh,Hasdeo,Mahanadi,Chhattisgarh,KORIYA,"Mahanadi Division(MD), Burla",23.20138888888889,82.21444444444445,409.5,,,420.86,1990-07-12
003-mgd2lkn,Fatehgarh,Ganga,Ganga,Uttar Pradesh,FARRUKHABAD,"Middle Ganga Division-II(MGD-II), Lucknow",27.40138888888889,79.62305555555555,128.0,136.6,137.6,138.14,2010-09-26
003-mgd4ptn,Ahirwalia,Burhi Gandak,Ganga,Bihar,PURBA CHAMPARAN,"Lower Ganga Division-I(LGD-I), Patna",26.415277777777774,85.06611111111111,47.0,58.62,59.62,61.17,1975-08-01
003-neid2,Sihthangpui,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Mizoram,LAWNGTLAI,"North Eastern Investigation Division-II, Aizawal",22.42361111111111,92.94269444444444,124.75,,,,
003-ugdhyd,Nasik,Godavari,Godavari,Maharashtra,Nashik,"Upper Godavari Division(UGD), Hyderabad",20.001944444444444,73.80333333333333,552.61,558.1,559.6,563.51,2019-08-04
003-wgdngp,Balaghat,Wainganga,Godavari,Madhya Pradesh,BALAGHAT,"Wainganga Division(WD), Nagpur",21.80527777777778,80.15833333333335,284.0,,,297.45,2020-08-30
004-CDBNG,Marol,Varadha,Krishna,Karnataka,Haveri,"Cauvery Division, Bangaluru",14.93888888888889,75.61805555555554,0.0,515.0,515.5,518.171,2019-08-10
004-CDJPR,Ujjain,Shipra,Ganga,Madhya Pradesh,UJJAIN,"Chambal Division(CD), Jaipur",23.17555555555556,75.75555555555556,469.0,476.0,477.0,483.81,1986-08-16
004-DDASL,Nandadih,Barakar,Ganga,Jharkhand,GIRIDIH,"Damodar Division(DD), Asansol",24.0325,86.43305555555555,0.0,193.21,194.21,200.395,1995-09-27
004-ERDBWN,Baripada,Burhabalang,Subernarekha,Odisha,MAYURBHANJ,"Eastern Rivers Division(ERD), Bhubaneswar",21.93111111111111,86.71861111111112,23.3,29.7,30.92,34.82,2013-10-13
004-HGDDDN,Rudraprayag (A),Alaknanda,Ganga,Uttarakhand,Rudraprayag,"Himalayan Ganga Division,Haridwar",30.288061111111112,78.9842,614.0,626.0,627.0,634.85,2013-06-17
004-LBDJPG,Manas N H Crossing,Manas,Brahmaputra,Assam,BONGAIGAON,"Middle Brahmaputra Division (MBD), Guwahati",26.464216666666665,90.75003333333332,42.0,47.81,48.42,50.08,1984-09-15
004-LGD3BEH,FARAKKA(HR),Farakka_Feeder Canal,Ganga,West Bengal,MURSHIDABAD,"Lower Ganga Division III(LGD-III), Berhampore",24.799166666666668,87.91638888888889,10.0,,,27.647,2000-09-21
004-LKDHYD,Deosugur,Krishna,Krishna,Karnataka,Raichur,"Lower Krishna Division(LKD), Hyderabad",16.38222222222222,77.35722222222222,325.511,334.511,335.511,339.961,2009-10-02
004-LYDAGRA,UDI,Chambal,Ganga,Uttar Pradesh,ETAWAH,"Lower Yamuna Division(LYD), Agra",26.69638888888889,78.93777777777778,102.0,119.8,120.8,129.91,2022-08-26
