code,name
044-UYDDEL,Shekhpura (Barnawa)
050-UYDDEL,Shergarh
016-ERDBWN,Akhuapada
YETIKOPPAKA,YETIKOPPAKA
010-NDBHP,Mandla
CW1WAR000074,Upper Wardha Project
010-MGD1LKn,Elginbridge
020-MGD3VNS,SATNA
013-mgd3vns,Chopan
FF - 2,Rangit- 3 Dam
031-UYDDEL,Meenus (Khad)
026-MGD5PTN,Koelwar
029-DDASL,Tusuma
010213ub1,Sohagpura
024-MGD3VNS,Jhokho
037-ERDBWN,Gotta Barrage
022-MGD3VNS,NARHAN
029-CDJAPR,Barodiya
005neid1,Kulichera
006-UYDDEL,Yashwant Nagar
023-LYDAGRA,AGRA(POIYAGHAT)
030-mgd2lkn,Lalganj
058-TDSURAT,VELDA
026-ugdhyd,Kaddam Dam
013-UBDDIB,Chenimari (Khowang)
037-LKDHYD,Kurnool Town
027-MGD3VNS,Churhat
015-LGDHYD,Eturunagaram
049-UYDDEL,Parkham
012-MDBURLA,Hirakud Reservoir
036-MAHGAND ,Gandhav 
014-MGD5PTN,Chhapra
004-LBDJPG,Manas N H Crossing
029-mgd4ptn,Araria
005-ugdhyd,NMD-Weir
039-erdbwn,Thottapalli R/s (APSDPSData)
019-mgd4ptn,Saulighat
01-11-13-001,Gumrabazar
051-SRDCBE,PATTUKOTTAI
001-LKDHYD,Almatti Reservoir
0032-cdbng,Hemavathy Reservoir
010-ERDBWN,Jamsholaghat
021-SRDCBE,MURAPPANADU
043-UYDDEL,Ratanpuri
020-mgd4ptn,Jainagar
0010NEID3,Chimpu
021-MGD3VNS,Mejaroad
002-LGDHYD,Kaleswaram
020-SRDCBE,A.P.PURAM
01-10-02-001,Sibbari
043-LYDAGRA,JUHIKHA
018-ERDBWN,Altuma
026-HGDDDN,Roorkee
025-UBDDIB,Gelabil
0024-srdcwc,Mettur Reservoir
017-UYDDEL,Mathura (Prayag ghat)
004-LKDHYD,Deosugur
019-ukdpune,Shirdhon
041-UYDDEL,Manjhawali
0033-cdbng,Kabini Reservoir
001-UYDDEL,Naugaon
013-wgdngp,Ghugus
032-ERDBWN,Mohana
NBO-0-045-1246, Bhamgarh
035-MDBURLA,Padmavati
GYQ00N7,ARNOTA
011-UYDDEL,Karnal
NBO-1-031-1232,Palakmati at Sohagpur
041-MGD3VNS,Durgawati
021-TDSURAT,Ukai Reservoir
023-MBDGHY,Kailashahar
023-HGDDDN,Dosni
021-MGD2LKN,Bhikiasen
38mgd5ptn,Batane
024-SWRDKOCHI,CHAKKALAKUTH
047,Hayuliang
008-MDSIL,ANIPUR
005-ERDBWN,Govindpur (NH5 Road Bridge)
023-LBDJPG,Mekhliganj (R/B)
045-CDJAPR,Ranapratap Sagar Reservoir
nbo-2-006-1207,Silgi at Kotrai
019-UGDHYD,Nizamsagar Reservoir
037-HDCHENNAI,Venganur
037-UYDDEL,Kheri
017-ugdhyd,Saigaon
018-ndbhp,Mortakka
006-hydchennai,Annamayya Project
029-mgd5ptn,Azmabad
061 MDBURLA,BANGODAM RESERVOIR
0029-LKDHYD,DR KLRS Pulichintala Dam
033-UBDDIB,Kampur
NBO-2-054-1255,Maan at Gopalpura
010-LBDJPG,Singlabazar
012-erdbwn,Rajghat
023-UBDDIB,Bokajan
024-DDASL,Jamtara1
039-LYDAGRA,BULAKIPURA
030-LKDHYD,Melaganur
033-MAHGAND ,Bhakudar (Sipu Dam)
037-DDASL,PUNASI DAM
bv000f5,DUDHNAI
011-CDJAPR,Mandawara
GYL00B7,LALPUR
036-MGD4ptn,Saharghat
033-LYDAGRA,BATESHWAR
037-UGDHYD,Karanja Dam
Nambol-8,Nambol_WLR
010-CDJAPR,Baranwada
019-WGDNGP,Salebardi
008-ubddib,Miao
015-lydagra,SEONDHA
016-LYDAGRA,HAMIRPUR
031-MGD5PTN,Garhwa
035-UKDPUNE,Ujjani Reservoir
053-SRDCBE,BALASAMUDRAM
008-MGD1LKN,Motipur
005-srdcbe,THENGUMARAHADA
049-MGD3VNS,Chachar
022-ugdhyd,Bhainsa(State Govt. Site)
0041-cdbng,SINGASADANAPALLI
024-MGD1LKN,Bhinga
GYN10F5,BHIND
019-LYDAGRA,PRATAPPUR
013-MDSIL,Belonia
007-UBDDIB,Dholabazar
007-SWRDKOCHI,PULAMANTHOLE
028ERDBWN,Sorada
028-wgdngp,Sirpur (Town)
020-wgdngp,Wairagarah
024-wgdngp,Mirdapalli
015-NDBHP,Tawa Reservoir
027-cdbng,BANTWAL
042-HDCHENNAI,Thiruvalngadu
NBO-1-044-1245,Abna at Khandwa
039-mgd3vns,Ashatpur
032-CDJAPR,Lakheri
034-mgd4PTN,Bishunpur
027-UYDDEL,Purola
029-UYDDEL,Sabhowala
026- MDSIL,SIBAPUR
008-SIDGTK,Sankalang
019-SRDCBE,IRRUKKANKUDI
022-ukdpune,Nagothane
CW1WE000074,Chhinda
018-SRDCBE,PARAMAKUDI
004-wgdngp,Rajegaon
044-LYDAGRA,MEHNDAGHAT
043-MGD3VNS,Chansura
019MAHGAND,Derol Bridge
075-UBDDIB,EBRANLI
NBO-2-041-1242,Datuni at Dudwas
019-lgdhyd,Sangam (Murredu)
01-10-01-001,Dimapara
004-LYDAGRA,UDI
076-UBDDIB,BOMJIR
016-LBDJPG,SEVOKE
007-WGDNGP,Ramakona
019-MGD2LKN,Bewar
057-LYDAGRA,KURDHANA
033-DDASL,Purihansha
034-MDBURLA,Tikarpara
025-MBDGHY,Pandu
010-HGDDDN,Devprayag (B)
004-MAHGAND,Mataji
011-ERDBWN,Fekoghat
034-LBDJPG,BAHALPUR
009-HGDDDN,Koteshwar
056-LYDAGRA,NARSINGHGARH
021-LKDHYD,Keesara
022-TDSURAT,GHALA
013-SWRDKOCHI,KALAMPUR
023-CDBNG,HOGENAKKAL
019-MGD3VNS,Akbarpur
006-UKDPUNE,Terwad (Seasonal)
011-LKdhyd,Oollenur
019-CDJAPR,A.B.Road X-ing
002-SHDSIM,POWARI (Shifted to moorang)
047-LYDAGRA,UNNAO BALAJI
019-UYDDEL,Galeta
DWRIS-17,Sagbari
017-MAHGAND,Harnav Weir
NBO-1-033-1234,Machna at Shahpur
013-HGDDDN,Marora 
003-MDSIL,NUTANBAZAR GD SITE
012-MGD3VNS,Kuldah Bridge
001-SWRDKOCHI,ERINJIPUZHA
013-MBDGHY,Chotabekra
049-LYDAGRA,BIJRONI
004neid1,Kashithal
024-HGDDDN,Raysi
002-MBDGHY,Goalpara
034-MGD3VNS,NAURHIA
020-mgd5ptn,Kinjer
01-11-01-008,Fulertal
015-MAHGAND,Raska WeIr
NBO-2-051-1252,Beda at Satwadi(Gogawa)
025-mgd2lkn,Haidergarh
007-MBDGHY,Suklai
016-MAHGAND,Kheroj
NBO-1-040-1241,Jamner at Sandalpur
061-LYDAGRA,LAMYARI
005-SHDSIM,PANDOA
NBO-2-010-1210,Matiyari at Katangatola
043-MGD1LKN,Sonauli Mohammad Pur
021-wgdngp,Rajoli
034-DDasal,D P Ghat
040-MGD1LKN,Parsa (Zalim Nagar)
002-wgdngp,Kumhari
042-LGDHYD,Kunturla (Machkund)
025-WGDNGP,Kanhargaon
007SHD,Hanuman Chetty
006-LKDHYD,Jewangi
016-MGD1LKN,Hetimpur
004-mgd3vns,SITAMARHI
014-lgdhyd,Perur
003-ERDBWN,Jeypore
010-SWRDKOCHI,MANKARA
020-ugdhyd,Degloor
004SHD,KOTHI
010-UYDDEL,Kalanaur
NBO-2-021-1222,Umar at Imaliya
027-mgd4ptn,Chargharia
023MAHGAND,Jotasan
003neid1,Bailley Bridge Tuipui
01-10-29-001,Jiribam
003-UKDPUNE,Samdoli (Seasonal)
017-MBDghy,Amraghat
005-mgd2lkn,Neemsar
014-lkdhyd,Bawapuram
018-UYDDEL,Mathura (Gokul Barrage)
030,Gomukhi dam
055-MDBURLA,Sarangpal 
020-MGD1LKN,Maniram
DWRIS-15,Laven 
016-MGD3VNS,Pratapgarh
034MAHGAND,Ganod
055-LYDAGRA,DEVRA
003-wgdngp,Balaghat
028- MDSIL,NEAIRGRAM
007-MGD1LKN,Shardanagar
059-LYDAGRA,KARWI
015- MGD3VNS,Shahzadpur
015-mgd5ptn,Kadirganj
034-ERDBWN,Gudari
004-UYDDEL,Tuini (Tons)
001-wgdngp,Keolari
017-LBDJPG,CHEL
038-MDBURLA,Khandapara
021-UYDDEL,Dadri
050-LYDAGRA,MASOODPUR
NBO-1-003-1204,Machrar at Gidha
NBO-2-008-1209,Phen at Parsatola
032-LBDJPG,MURTI
020-UBDDIB,Daporizo
017-chejmu,AKHNOOR
001-MDSIL,KUMARGHAT
030-MGD1LKN,Kanjyoti
NBO-2-001-1202,Narmada at Gorakhpur
024MAHGAND,Ratanpur
016-UYDDEL,Mohna
003-SRDCBE,KUDLUR
025-MGD3VNS,Duddhi
004-UBDDIB,Lemeking
021-DDASL,TANTLOI
006-SRDCBE,SEVANUR
NBO-2-014-1215,Saner at Chargawan
017-UBDDIB,Bihubar
039MAHGAND,Lowara
024-mgd5pat,Daltonganj
041-MGD1LKN,Madhwapur
026-WGDNGP,Mangrul
GYH70J7,GARHAKOTA
022-CDBNG,KOLLEGAL
011-LGDHYD,Chindnar
023-MGD3VNS,Goverdheghat
015-SRDCBE,AMBARAMPALAYAM
048-ERDBWN,Jaggaguda
023-LGDHYD,Saradaput
017-DDASL	,Maharo
NBO-2-010-1211,Balai at Narayanganj
019-LKDHYD,Dameracherla
050-SRDCBE,Varanavasi
018-WGDNGP,Sakmur
042-MGD1LKN,Dumari Ghat
025MAHGAND,Kheda
011-MGD3VNS,Kharra
040-LYDAGRA,ORAI-2 Mangrayan
037-LYDAGRA,NEPARI
048-MGD3VNS,Devkali
029-UBDDIB,Bhalukpong
025-UGDHYD,Mancherial
023-LKDHYD,Paleru Bridge
053 -hd chennAI,THIRUNAVALUR
008-NDBHP,Dindori
035=DDASL,KHARIDWAR
077-ERDBWN,Saraikela Rd. Bridge
017-SRDCBE,Ambasamudram
66-LYDAGRA,BADAUSA
008-ugdhyd,Lasur
04-srdcbe,THOPPUR
074-ERDBWN,Bara Ghagara
